浪潮之巅,16401,9.1
黑客与画家 : 硅谷创业之父Paul Graham文集 ,12688,8.8
失控 : 全人类的最终命运和结局 ,10984,8.8
史蒂夫·乔布斯传,24652,8.7
数学之美,7248,8.7
必然,2496,8.5
启示录 : 打造用户喜爱的产品 ,3827,8.5
简约至上 : 交互式设计四策略 ,3843,8.4
精益创业 : 新创企业的成长思维 ,2779,8.4
创业维艰 : 如何完成比难更难的事 ,4147,8.4
重来 : 更为简单有效的商业思维 ,5881,8.3
三双鞋 : 美捷步总裁谢家华自述 ,2280,8.3
重新定义公司 : 谷歌是如何运营的 ,2679,8.3
用户体验的要素 : 以用户为中心的Web设计 ,3389,8.2
游戏改变世界 : 游戏化如何让现实变得更美好 ,2079,8.1
结网 : 互联网产品经理改变世界 ,3006,7.9
Facebook效应 : 看Facebook如何打造无与伦比的社交帝国 ,4464,7.9
世界是平的 : 21世纪简史 ,12988,7.7
人人都是产品经理,5784,7.7
长尾理论,10522,7.7
打造Facebook : 亲历Facebook爆发的5年 ,2077,7.6
周鸿祎自述 : 我的互联网方法论 ,3543,7.6
大数据时代 : 生活、工作与思维的大变革 ,11758,7.6
从0到1 : 开启商业与未来的秘密 ,12421,7.6
免费 : 商业的未来 ,3220,7.5
参与感 : 小米口碑营销内部手册 ,6078,7.5
未来是湿的 : 无组织的组织力量 ,2296,7.5
罗辑思维 : 有种、有趣、有料 ,3090,7.2
微博：改变一切,2896,5.8
